station_id,num_bikes_available,num_bikes_disabled,num_docks_available,num_docks_disabled,last_reported,is_charging_station,status,is_installed,is_renting,is_returning,traffic,num_bikes_available_types.mechanical,num_bikes_available_types.ebike,Date,hora,dia
420,5,1,6,0,1746209718.0,False,IN_SERVICE,1,1,1,,5,0,2025-05-02,15:16:06,Friday
464,12,0,8,0,1746193819.0,False,IN_SERVICE,1,1,1,,12,0,2025-05-02,15:16:06,Friday
420,5,1,6,0,1746212843.0,False,IN_SERVICE,1,1,1,,5,0,2025-05-02,16:09:43,Friday
464,12,0,8,0,1746193819.0,False,IN_SERVICE,1,1,1,,12,0,2025-05-02,16:09:43,Friday
420,5,1,6,0,1746216718.0,False,IN_SERVICE,1,1,1,,5,0,2025-05-02,17:13:09,Friday
464,12,0,8,0,1746193819.0,False,IN_SERVICE,1,1,1,,12,0,2025-05-02,17:13:09,Friday
420,5,1,6,0,1746220205.0,False,IN_SERVICE,1,1,1,,5,0,2025-05-02,18:10:48,Friday
464,12,0,8,0,1746193819.0,False,IN_SERVICE,1,1,1,,12,0,2025-05-02,18:10:48,Friday
420,4,1,7,0,1746223705.0,False,IN_SERVICE,1,1,1,,4,0,2025-05-02,19:11:06,Friday
464,12,0,8,0,1746193819.0,False,IN_SERVICE,1,1,1,,12,0,2025-05-02,19:11:06,Friday
420,3,1,8,0,1746227410.0,False,IN_SERVICE,1,1,1,,3,0,2025-05-02,20:11:11,Friday
464,12,0,8,0,1746193819.0,False,IN_SERVICE,1,1,1,,12,0,2025-05-02,20:11:11,Friday
420,3,1,8,0,1746233727.0,False,IN_SERVICE,1,1,1,,3,0,2025-05-02,21:55:53,Friday
464,12,0,8,0,1746193819.0,False,IN_SERVICE,1,1,1,,12,0,2025-05-02,21:55:53,Friday
420,3,1,8,0,1746238969.0,False,IN_SERVICE,1,1,1,,3,0,2025-05-02,23:24:38,Friday
464,12,0,8,0,1746193819.0,False,IN_SERVICE,1,1,1,,12,0,2025-05-02,23:24:38,Friday
420,3,1,8,0,1746243052.0,False,IN_SERVICE,1,1,1,,3,0,2025-05-03,00:31:28,Saturday
464,12,0,8,0,1746193819.0,False,IN_SERVICE,1,1,1,,12,0,2025-05-03,00:31:28,Saturday
420,3,1,8,0,1746245440.0,False,IN_SERVICE,1,1,1,,3,0,2025-05-03,01:13:35,Saturday
464,12,0,8,0,1746193819.0,False,IN_SERVICE,1,1,1,,12,0,2025-05-03,01:13:35,Saturday
420,3,1,8,0,1746248929.0,False,IN_SERVICE,1,1,1,,3,0,2025-05-03,02:11:33,Saturday
464,12,0,8,0,1746193819.0,False,IN_SERVICE,1,1,1,,12,0,2025-05-03,02:11:33,Saturday
420,3,1,8,0,1746252786.0,False,IN_SERVICE,1,1,1,,3,0,2025-05-03,03:15:16,Saturday
464,12,0,8,0,1746193819.0,False,IN_SERVICE,1,1,1,,12,0,2025-05-03,03:15:16,Saturday
420,3,1,8,0,1746256105.0,False,IN_SERVICE,1,1,1,,3,0,2025-05-03,04:10:40,Saturday
464,12,0,8,0,1746193819.0,False,IN_SERVICE,1,1,1,,12,0,2025-05-03,04:10:40,Saturday
420,3,1,8,0,1746259960.0,False,IN_SERVICE,1,1,1,,3,0,2025-05-03,05:13:53,Saturday
464,12,0,8,0,1746193819.0,False,IN_SERVICE,1,1,1,,12,0,2025-05-03,05:13:53,Saturday
420,3,1,8,0,1746263270.0,False,IN_SERVICE,1,1,1,,3,0,2025-05-03,06:11:05,Saturday
464,12,0,8,0,1746193819.0,False,IN_SERVICE,1,1,1,,12,0,2025-05-03,06:11:05,Saturday
420,3,1,8,0,1746266939.0,False,IN_SERVICE,1,1,1,,3,0,2025-05-03,07:11:01,Saturday
464,12,0,8,0,1746193819.0,False,IN_SERVICE,1,1,1,,12,0,2025-05-03,07:11:01,Saturday
420,3,1,8,0,1746270432.0,False,IN_SERVICE,1,1,1,,3,0,2025-05-03,08:08:59,Saturday
464,14,1,5,0,1746270340.0,False,IN_SERVICE,1,1,1,,14,0,2025-05-03,08:08:59,Saturday
420,3,1,8,0,1746274657.0,False,IN_SERVICE,1,1,1,,3,0,2025-05-03,09:20:18,Saturday
464,15,1,4,0,1746274692.0,False,IN_SERVICE,1,1,1,,15,0,2025-05-03,09:20:18,Saturday
420,3,1,8,0,1746278330.0,False,IN_SERVICE,1,1,1,,3,0,2025-05-03,10:19:12,Saturday
464,14,1,5,0,1746278307.0,False,IN_SERVICE,1,1,1,,14,0,2025-05-03,10:19:12,Saturday
420,3,1,8,0,1746281283.0,False,IN_SERVICE,1,1,1,,3,0,2025-05-03,11:10:04,Saturday
464,14,1,5,0,1746280844.0,False,IN_SERVICE,1,1,1,,14,0,2025-05-03,11:10:04,Saturday
420,3,1,8,0,1746284965.0,False,IN_SERVICE,1,1,1,,3,0,2025-05-03,12:10:41,Saturday
464,14,1,5,0,1746282349.0,False,IN_SERVICE,1,1,1,,14,0,2025-05-03,12:10:41,Saturday
420,1,1,10,0,1746288632.0,False,IN_SERVICE,1,1,1,,1,0,2025-05-03,13:13:01,Saturday
464,14,1,5,0,1746282349.0,False,IN_SERVICE,1,1,1,,14,0,2025-05-03,13:13:01,Saturday
420,1,1,10,0,1746292118.0,False,IN_SERVICE,1,1,1,,1,0,2025-05-03,14:09:19,Saturday
464,14,1,5,0,1746282349.0,False,IN_SERVICE,1,1,1,,14,0,2025-05-03,14:09:19,Saturday
420,1,1,10,0,1746295979.0,False,IN_SERVICE,1,1,1,,1,0,2025-05-03,15:14:37,Saturday
464,14,1,5,0,1746282349.0,False,IN_SERVICE,1,1,1,,14,0,2025-05-03,15:14:37,Saturday
420,1,2,9,0,1746299287.0,False,IN_SERVICE,1,1,1,,1,0,2025-05-03,16:08:30,Saturday
464,14,1,5,0,1746282349.0,False,IN_SERVICE,1,1,1,,14,0,2025-05-03,16:08:30,Saturday
420,1,2,9,0,1746302973.0,False,IN_SERVICE,1,1,1,,1,0,2025-05-03,17:11:49,Saturday
464,14,1,5,0,1746282349.0,False,IN_SERVICE,1,1,1,,14,0,2025-05-03,17:11:49,Saturday
420,1,2,9,0,1746306462.0,False,IN_SERVICE,1,1,1,,1,0,2025-05-03,18:10:01,Saturday
464,14,1,5,0,1746282349.0,False,IN_SERVICE,1,1,1,,14,0,2025-05-03,18:10:01,Saturday
420,1,2,9,0,1746310145.0,False,IN_SERVICE,1,1,1,,1,0,2025-05-03,19:10:42,Saturday
464,14,1,5,0,1746282349.0,False,IN_SERVICE,1,1,1,,14,0,2025-05-03,19:10:42,Saturday
420,1,2,9,0,1746320445.0,False,IN_SERVICE,1,1,1,,1,0,2025-05-03,22:02:53,Saturday
464,14,1,5,0,1746282349.0,False,IN_SERVICE,1,1,1,,14,0,2025-05-03,22:02:53,Saturday
420,1,2,9,0,1746328169.0,False,IN_SERVICE,1,1,1,,1,0,2025-05-04,00:11:42,Sunday
464,18,2,0,0,1746328268.0,False,IN_SERVICE,1,1,1,,18,0,2025-05-04,00:11:42,Sunday
420,1,2,9,0,1746332037.0,False,IN_SERVICE,1,1,1,,1,0,2025-05-04,01:15:37,Sunday
464,18,2,0,0,1746332066.0,False,IN_SERVICE,1,1,1,,18,0,2025-05-04,01:15:37,Sunday
420,1,2,9,0,1746335342.0,False,IN_SERVICE,1,1,1,,1,0,2025-05-04,02:11:46,Sunday
464,18,2,0,0,1746335321.0,False,IN_SERVICE,1,1,1,,18,0,2025-05-04,02:11:46,Sunday
420,1,2,9,0,1746339202.0,False,IN_SERVICE,1,1,1,,1,0,2025-05-04,03:16:08,Sunday
464,18,2,0,0,1746339298.0,False,IN_SERVICE,1,1,1,,18,0,2025-05-04,03:16:08,Sunday
420,1,2,9,0,1746342509.0,False,IN_SERVICE,1,1,1,,1,0,2025-05-04,04:10:45,Sunday
464,18,2,0,0,1746342552.0,False,IN_SERVICE,1,1,1,,18,0,2025-05-04,04:10:45,Sunday
420,1,2,9,0,1746346364.0,False,IN_SERVICE,1,1,1,,1,0,2025-05-04,05:13:58,Sunday
